"Respondent","Database1","Database2","Database3","Database4","Database5","Database6","Database7","Database8","Database9","Database10","Database11","Database12","Database13"
6,"MongoDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Elasticsearch","MongoDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
12,"MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Couchbase","DynamoDB","Firebase","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Elasticsearch","MySQL","Oracle","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Firebase","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"MongoDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"MongoDB","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MariaDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"MariaDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA
66,"Elasticsearch","MariaDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"DynamoDB","Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"DynamoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"MariaDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Elasticsearch","MariaDB","Microsoft SQL Server","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA
93,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"MariaDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"Cassandra","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Microsoft SQL Server","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Elasticsearch","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"MongoDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"MongoDB","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"MariaDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,"Firebase","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA
175,"MariaDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"Elasticsearch","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,"MariaDB","MongoDB","MySQL","Oracle","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
251,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,"Microsoft SQL Server","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"MariaDB","MySQL","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
262,"Couchbase","MongoDB","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"MongoDB","MySQL","Oracle","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
278,"Microsoft SQL Server","MySQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"DynamoDB","Elasticsearch","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,"Firebase","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"MongoDB","Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,"MongoDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,"MongoDB","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"MongoDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,"Couchbase","DynamoDB","Firebase","MongoDB","Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA
370,"Elasticsearch","MongoDB","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA
371,"MySQL","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,"MariaDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,"Elasticsearch","MongoDB","Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
411,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,"Elasticsearch","MariaDB","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
433,"Firebase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
487,"MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"MariaDB","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
517,"Cassandra","DynamoDB","Firebase","MongoDB","Microsoft SQL Server","Redis","SQLite",NA,NA,NA,NA,NA,NA
