"Respondent","Age","Gender","Ethnicity","Country","UndergradMajor","JobSat"
6,28,"Man","East Asian","Canada","Mathematics or statistics","Slightly satisfied"
10,NA,NA,NA,"India",NA,"Slightly dissatisfied"
12,21,"Woman","Black or of African descent","Canada","Mathematics or statistics",NA
13,28,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
18,NA,"Man","White or of European descent","Russian Federation","Computer science, computer engineering, or software engineering","Very satisfied"
22,47,"Man","White or of European descent","United States",NA,"Very dissatisfied"
33,25,"Man","Hispanic or Latino/Latina","Argentina","A natural science (ex. biology, chemistry, physics)","Very satisfied"
38,44,"Man",NA,"Czech Republic","Computer science, computer engineering, or software engineering","Very satisfied"
42,30,"Man","Middle Eastern","Bangladesh",NA,"Slightly satisfied"
43,27,"Man","Hispanic or Latino/Latina","Spain","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
46,37,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
51,18,"Woman","South Asian","United States","Computer science, computer engineering, or software engineering",NA
59,38,"Man","Hispanic or Latino/Latina","Argentina","Web development or web design","Neither satisfied nor dissatisfied"
62,19,"Man","White or of European descent","Netherlands","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
66,NA,NA,NA,"Germany","Computer science, computer engineering, or software engineering","Very satisfied"
67,24,"Man","Multiracial","Australia","Information systems, information technology, or system administration","Very satisfied"
74,24,"Man","White or of European descent","Ireland","Computer science, computer engineering, or software engineering","Very satisfied"
76,32,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very satisfied"
85,31,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
93,32,NA,"White or of European descent","Germany","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
95,30,"Man","White or of European descent","United States","Mathematics or statistics","Very satisfied"
96,43,"Man","South Asian","Canada","Computer science, computer engineering, or software engineering",NA
97,25,"Non-binary, genderqueer, or gender non-conforming","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
99,21,"Man","South Asian","India",NA,NA
110,26,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
111,54,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
116,31,"Man","White or of European descent","Spain","Computer science, computer engineering, or software engineering","Very satisfied"
120,26,"Man","White or of European descent","South Africa","A natural science (ex. biology, chemistry, physics)","Very satisfied"
129,34,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
133,39,"Man","White or of European descent","United States","Web development or web design",NA
145,NA,"Man",NA,"Japan","Computer science, computer engineering, or software engineering",NA
146,47,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
156,36,"Man","White or of European descent","Bulgaria","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
174,24,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
175,20,"Man","White or of European descent","Greece",NA,NA
184,29,"Man","White or of European descent","Latvia","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
188,28,"Man","South Asian","United Kingdom","Mathematics or statistics","Very satisfied"
189,28,"Man","East Asian","Hong Kong (S.A.R.)","Computer science, computer engineering, or software engineering","Slightly satisfied"
192,28,"Man","White or of European descent","Poland","Mathematics or statistics","Slightly dissatisfied"
197,40,"Man","White or of European descent","Australia","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
199,NA,"Man","White or of European descent","Netherlands","Mathematics or statistics",NA
