"Respondent","OpSys"
6,"Windows"
10,"Windows"
12,"MacOS"
13,"Windows"
18,"Linux-based"
22,"Windows"
33,"Linux-based"
38,"Windows"
42,"Windows"
43,"MacOS"
46,"Windows"
51,"Windows"
59,"Windows"
62,"Windows"
66,"Linux-based"
67,"Windows"
74,"MacOS"
76,"Windows"
85,"MacOS"
93,"Windows"
95,"Windows"
96,"MacOS"
97,"MacOS"
99,"Linux-based"
110,"MacOS"
111,"Windows"
116,"Linux-based"
120,"MacOS"
129,"Windows"
133,"Windows"
145,"MacOS"
146,"Linux-based"
156,"Linux-based"
174,"Windows"
175,"Linux-based"
184,"Linux-based"
188,"Windows"
189,"MacOS"
192,"Linux-based"
197,"Windows"
199,"BSD"
202,"Linux-based"
206,"Windows"
228,"Windows"
238,"MacOS"
248,"Linux-based"
251,"Windows"
254,"Windows"
260,"Windows"
262,"Windows"
264,"Windows"
273,"MacOS"
278,"Linux-based"
281,"Windows"
282,"MacOS"
290,"Windows"
299,"Windows"
310,"MacOS"
312,"MacOS"
323,"Windows"
325,"Linux-based"
333,"Linux-based"
334,"Linux-based"
337,"Windows"
339,"Linux-based"
349,"Windows"
359,"Linux-based"
363,"MacOS"
370,"Windows"
371,"Windows"
374,"Windows"
377,"Windows"
381,"Windows"
385,"Linux-based"
411,"Windows"
413,"MacOS"
433,"MacOS"
466,"MacOS"
487,"Windows"
495,"Windows"
499,"Windows"
517,NA
523,"Windows"
524,"MacOS"
525,"Windows"
539,"MacOS"
542,"Linux-based"
551,"Windows"
556,"MacOS"
563,"Linux-based"
564,"Linux-based"
571,"Linux-based"
573,"Linux-based"
575,"Linux-based"
589,"Windows"
596,"Linux-based"
600,"Linux-based"
602,"Windows"
627,"MacOS"
637,"Windows"
641,"MacOS"
645,"Windows"
648,"Windows"
654,"MacOS"
656,"MacOS"
657,"MacOS"
659,"MacOS"
664,"MacOS"
666,"Windows"
669,"Linux-based"
678,"Windows"
681,"Windows"
683,"Linux-based"
684,"Windows"
693,"MacOS"
719,"MacOS"
723,"Linux-based"
725,"Windows"
728,"MacOS"
747,"Linux-based"
755,"MacOS"
771,"MacOS"
772,"Windows"
776,"MacOS"
784,"Windows"
793,"Linux-based"
794,"Windows"
795,"Windows"
803,"Linux-based"
806,"MacOS"
811,"Windows"
817,"Linux-based"
828,"Windows"
835,"Linux-based"
838,"MacOS"
845,"Windows"
846,"MacOS"
847,"Windows"
854,"Windows"
871,"Windows"
874,"Linux-based"
885,"MacOS"
895,"MacOS"
899,"Windows"
900,"Linux-based"
904,"Linux-based"
907,"Linux-based"
922,"Linux-based"
941,"Windows"
945,"Linux-based"
964,"Linux-based"
972,"MacOS"
984,"Linux-based"
990,"Linux-based"
992,"MacOS"
993,"Windows"
994,"MacOS"
997,"MacOS"
1002,"Linux-based"
1018,"Linux-based"
1022,"Windows"
1034,"MacOS"
1037,"MacOS"
1038,"Windows"
1058,"Linux-based"
1063,"Linux-based"
1074,"Windows"
1079,"Windows"
1099,"Windows"
1109,"Windows"
1115,"Windows"
1125,"MacOS"
1126,"Windows"
1127,"Windows"
1137,"MacOS"
1143,"Windows"
1146,"Windows"
1148,"Linux-based"
1157,"MacOS"
1158,"Linux-based"
1168,"Windows"
1169,"Linux-based"
1177,"MacOS"
1185,"Windows"
1189,"Windows"
1208,"Windows"
1209,"MacOS"
1215,"Windows"
1217,"Linux-based"
1229,"Linux-based"
1246,"Linux-based"
1250,"Windows"
1266,"Windows"
1268,"Linux-based"
1272,"Windows"
1286,"Linux-based"
1288,"MacOS"
1289,"Windows"
1295,"Windows"
1300,"MacOS"
1304,"Windows"
1306,"Windows"
1308,"Linux-based"
1329,"Linux-based"
1330,"MacOS"
1333,"Linux-based"
1334,"Linux-based"
1347,"Linux-based"
1349,"Windows"
1351,"Windows"
1361,"Windows"
1367,"Windows"
1376,"Windows"
1385,"Windows"
1386,"Linux-based"
1391,"Windows"
1402,"Windows"
1405,"Linux-based"
1423,"MacOS"
1425,"Windows"
1428,"MacOS"
1429,"Windows"
1432,"Windows"
1435,"Linux-based"
1451,"MacOS"
1457,"Windows"
1466,"Linux-based"
1468,"Linux-based"
1469,"Windows"
1476,"Linux-based"
1482,"MacOS"
1485,"MacOS"
1487,"Windows"
1489,"Linux-based"
1499,"MacOS"
1509,"Windows"
1510,"Windows"
1511,"MacOS"
1526,"MacOS"
1533,"Windows"
1534,"Windows"
1535,"MacOS"
1541,"MacOS"
1542,"Linux-based"
1552,"Windows"
1557,"Windows"
1560,"MacOS"
1575,"Windows"
1578,"Linux-based"
1580,"Linux-based"
1586,"Linux-based"
1587,"Linux-based"
1590,"Windows"
1596,"Linux-based"
1599,"Windows"
1605,"Linux-based"
1612,"Windows"
1617,"MacOS"
1619,"Windows"
1625,"Windows"
1634,"Linux-based"
1639,"MacOS"
1649,"Linux-based"
1650,"Windows"
1659,"MacOS"
1666,"Windows"
1671,"MacOS"
1672,"Windows"
1674,"MacOS"
1675,"MacOS"
1677,"MacOS"
1696,"Windows"
1705,"Linux-based"
1728,"Windows"
1732,"MacOS"
1746,"Windows"
1765,"Windows"
1774,"Windows"
1794,"Windows"
1803,"Windows"
1825,"Windows"
1829,"Windows"
1830,"Windows"
1844,"Windows"
1845,"Windows"
1846,"MacOS"
1850,"Windows"
1851,"Windows"
1860,"MacOS"
1866,"Linux-based"
1867,"Windows"
1877,"Linux-based"
1879,"MacOS"
1880,"Windows"
1891,"Windows"
1895,"MacOS"
1896,"Windows"
1902,"Windows"
1908,"MacOS"
1910,"MacOS"
1916,"MacOS"
1918,"Windows"
1921,"Windows"
1933,"Linux-based"
1939,"MacOS"
1953,"Windows"
1955,"Windows"
1960,"MacOS"
1964,"Linux-based"
1965,"Windows"
1973,"Linux-based"
1978,"Windows"
1992,"BSD"
2004,"Linux-based"
2009,"Windows"
2011,"Windows"
2015,"Windows"
2019,"BSD"
2031,"Windows"
2033,"Windows"
2046,"Windows"
2063,"Windows"
2067,"Windows"
