"Respondent","WebFrame1","WebFrame2","WebFrame3","WebFrame4","WebFrame5","WebFrame6","WebFrame7","WebFrame8","WebFrame9","WebFrame10","WebFrame11","WebFrame12"
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Angular/Angular.js","ASP.NET","Django","Express","Flask","jQuery",NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Angular/Angular.js","ASP.NET","Express","jQuery","Vue.js",NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Angular/Angular.js","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"jQuery","Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"ASP.NET","Django","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Django","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Angular/Angular.js","Express",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Angular/Angular.js","jQuery","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Django","jQuery","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Django","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Angular/Angular.js","Express","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Flask","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Angular/Angular.js","ASP.NET","Django","Flask","React.js",NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Angular/Angular.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"Django","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"Flask","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
